sample,fastq_1,fastq_2,strandedness
SRR1552444,SRR1552444.fastq.gz,,unstranded
SRR1552445,SRR1552445.fastq.gz,,unstranded
SRR1552446,SRR1552446.fastq.gz,,unstranded
SRR1552447,SRR1552447.fastq.gz,,unstranded
SRR1552448,SRR1552448.fastq.gz,,unstranded
SRR1552449,SRR1552449.fastq.gz,,unstranded
SRR1552450,SRR1552450.fastq.gz,,unstranded
SRR1552451,SRR1552451.fastq.gz,,unstranded
SRR1552452,SRR1552452.fastq.gz,,unstranded
SRR1552453,SRR1552453.fastq.gz,,unstranded
SRR1552454,SRR1552454.fastq.gz,,unstranded
SRR1552455,SRR1552455.fastq.gz,,unstranded
